iter	Passed	Remaining
0	1	138
1	2	125
2	4	136
3	5	129
4	6	123
5	7	120
6	9	121
7	10	120
8	11	119
9	12	116
10	14	113
11	15	111
12	16	110
13	17	108
14	19	107
15	20	105
16	21	104
17	22	103
18	24	102
19	25	100
20	26	99
21	27	98
22	29	97
23	30	96
24	31	94
25	32	93
26	33	91
27	34	89
28	36	89
29	37	88
30	38	86
31	40	85
32	41	85
33	43	83
34	44	82
35	45	81
36	47	80
37	48	79
38	49	77
39	50	76
40	51	74
41	53	73
42	54	72
43	55	70
44	56	69
45	57	68
46	59	66
47	60	65
48	61	64
49	62	62
50	64	61
51	65	60
52	66	59
53	68	58
54	69	56
55	70	55
56	71	54
57	73	53
58	74	51
59	75	50
60	76	49
61	78	47
62	79	46
63	80	45
64	81	43
65	83	42
66	84	41
67	85	40
68	86	39
69	87	37
70	89	36
71	90	35
72	91	33
73	92	32
74	94	31
75	95	30
76	96	28
77	97	27
78	99	26
79	100	25
80	101	23
81	103	22
82	103	21
83	104	19
84	106	18
85	107	17
86	108	16
87	110	15
88	111	13
89	112	12
90	114	11
91	116	10
92	126	9
93	131	8
94	135	7
95	138	5
96	140	4
97	143	2
98	147	1
99	151	0
